Thu Mar 07 21:51:46 +0000 2019,b'How criminal justice reform could make Cory Booker the Democratic nominee https://t.co/AhH3FapZaP via @MotherJones'
Thu Mar 07 21:51:46 +0000 2019,b'@RepMattGaetz TRUMP SUCK UP .'
Thu Mar 07 21:51:46 +0000 2019,"b'@monaeltahawy Ohio has made that clear. Once there is a detectable heartbeat you are a HUMAN BEING!! Proud of Ohio to make this distinction, as a matter of history Ohio has foretold the future in many ways. No person ever has become president without winning it in our history.'"
Thu Mar 07 21:51:46 +0000 2019,"b""#Golf #Pga #ArnoldPalmerInvitational   Your colloquies can pretend your worth honest men not of hatred white entitlement corruption and lies Its they're Job #Republican leaders Your not my people I would never fight and die along side of you You are bad men   #Cspan #In #ap #aclu"""
Thu Mar 07 21:51:46 +0000 2019,b'@ShimonPro @realDonaldTrump will pardon him immediately afterwards. Can the NY State AG charge Manafort with state crimes failure to pay state taxes?  Trump cannot pardon convicted state crimes'
Thu Mar 07 21:51:46 +0000 2019,b'Thread on new US copyright law.'
Thu Mar 07 21:51:46 +0000 2019,"b'John Hinderaker\n\nRasmussen...Trump at 50%\nWhat would it be if 90% of media didn""t attack him 24/7?\n\nhttps://t.co/xYMULnWAUv'"
Thu Mar 07 21:51:46 +0000 2019,"b""@GOPLeader They want to inject into resolution Anti Muslim speech,so that ppl can't speak up against congressman/women pushing ShariaLaw in Congress! This can not be allowed to be put in.  The only law in the US is the Constitution! If they can silence the ppl then they have infiltrated&amp;won"""
Thu Mar 07 21:51:47 +0000 2019,b'NYT IS USEFUL AFTER ALL FOR THE MOMENT AT LEAST...\n#BREAKTHROUGH'
Thu Mar 07 21:51:46 +0000 2019,b'I agree!! They should be indicted just like Trump!!'
Thu Mar 07 21:51:47 +0000 2019,b'BREAING: Appeal Court confirms Abba Yusuf as Kano PDP Guber Candidate-https://t.co/YP54v6MJI5\n#kano #kaduna #court #BenArfa #Sarr #Cech #sokratis #Emirates #WorldBookDay #PeteEdochie #Rennes #RENARS #Arsenal #CHEDYN #sarr #Bolt #GbengaDaniel #Taxify #Giroud #Monreal https://t.co/Yam74ZXEyo'
Thu Mar 07 21:51:47 +0000 2019,"b'@Jakeweindling @StanNowhere In short the fear-mongering about wolf-in-sheep\'s-clothing ""centrists"" ignores the real problem: Even the most dyed-in-the-wool (!) progressive POTUS can\'t be successful if we don\'t have Senate votes. If we DO have those votes, no Dem POTUS can pull a 180 and survive politically'"
